Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2018-01-29,INFY,EQ,1175.4,1166.55,1196.25,1165.2,1180.55,1182.9,1185.12,5411501,641329345950000.0,188700,3575679,0.6607999999999999
2018-01-30,INFY,EQ,1182.9,1178.9,1183.1,1162.7,1168.0,1170.65,1169.32,4314156,504464700650000.0,139977,2953957,0.6847
2018-01-31,INFY,EQ,1170.65,1159.15,1166.6,1142.15,1149.1,1150.25,1153.93,4606849,531599968130000.0,118772,3306082,0.7176
2018-02-01,INFY,EQ,1150.25,1142.2,1157.9,1118.55,1144.0,1144.6,1141.19,6502727,742085313500000.0,147460,3808868,0.5857
2018-02-02,INFY,EQ,1144.6,1135.25,1162.9,1130.1,1145.3,1143.25,1144.88,5122243,586436039980000.0,112441,3377137,0.6593000000000001
2018-02-05,INFY,EQ,1143.25,1140.0,1154.85,1135.85,1139.9,1138.2,1143.33,4930110,563674320535000.0,146880,3737354,0.7581
2018-02-06,INFY,EQ,1138.2,1099.95,1128.35,1095.15,1111.4,1107.75,1113.87,5276039,587680070865000.0,136315,3479245,0.6594
2018-02-07,INFY,EQ,1107.75,1116.0,1124.8,1103.55,1108.0,1109.05,1113.49,4171028,464437862735000.06,147324,2763817,0.6626000000000001
2018-02-08,INFY,EQ,1109.05,1122.8,1146.4,1116.55,1133.0,1134.25,1138.52,4403622,501361314139999.94,105295,2891380,0.6566
2018-02-09,INFY,EQ,1134.25,1118.0,1120.3,1106.0,1112.0,1109.15,1112.64,2191345,243818478565000.0,88836,1186875,0.5416
2018-02-12,INFY,EQ,1109.15,1114.8,1120.6,1097.8,1101.0,1102.8,1106.85,3145986,348214721955000.0,52343,1986846,0.6315
2018-02-14,INFY,EQ,1102.8,1106.0,1117.3,1090.2,1091.0,1097.75,1106.89,4172856,461890528035000.06,113292,3010045,0.7212999999999999
2018-02-15,INFY,EQ,1097.75,1103.0,1129.7,1103.0,1113.5,1114.45,1118.96,3993368,446841399295000.0,99941,2439471,0.6109
2018-02-16,INFY,EQ,1114.45,1125.0,1141.65,1118.1,1124.65,1128.05,1128.32,4944611,557912643435000.06,108882,3112620,0.6295000000000001
2018-02-19,INFY,EQ,1128.05,1128.4,1136.0,1120.3,1134.2,1131.75,1129.16,3230920,364822763325000.0,83364,1826082,0.5652
2018-02-20,INFY,EQ,1131.75,1103.75,1149.5,1103.75,1135.0,1136.95,1141.14,3594297,410161122480000.0,97878,1847456,0.514
2018-02-21,INFY,EQ,1136.95,1147.5,1151.9,1140.0,1145.0,1147.4,1146.98,6885679,789773820720000.0,169230,5474712,0.7951
2018-02-22,INFY,EQ,1147.4,1145.55,1164.0,1140.45,1159.0,1160.75,1157.22,8929987,1033399503710000.0,151810,6801311,0.7615999999999999
2018-02-23,INFY,EQ,1160.75,1163.5,1166.0,1146.75,1154.4,1155.65,1158.08,4729914,547763515505000.0,128746,3177897,0.6718999999999999
2018-02-26,INFY,EQ,1155.65,1151.0,1155.05,1134.35,1139.95,1138.6,1142.81,2541804,290479340975000.0,76083,1626562,0.6399
2018-02-27,INFY,EQ,1138.6,1144.95,1153.65,1125.65,1147.7,1150.2,1139.08,3308013,376810153850000.0,140175,2156356,0.6519
2018-02-28,INFY,EQ,1150.2,1147.6,1189.5,1142.55,1169.85,1172.6,1172.09,8634208,1012003486950000.0,229051,5049780,0.5849000000000001
2018-03-01,INFY,EQ,1172.6,1169.6,1169.6,1156.05,1160.25,1160.75,1161.83,3289926,382233635820000.0,95568,2089661,0.6352000000000001
2018-03-05,INFY,EQ,1160.75,1160.75,1170.8,1143.25,1159.7,1155.9,1158.68,4050728,469351196139999.94,150137,2407810,0.5944
2018-03-06,INFY,EQ,1155.9,1162.55,1165.4,1143.6,1146.25,1151.35,1157.61,3344867,387205467015000.0,123734,2349339,0.7023999999999999
2018-03-07,INFY,EQ,1151.35,1155.0,1160.0,1138.05,1147.8,1144.1,1148.31,3185208,365759484795000.0,91049,2099037,0.659
2018-03-08,INFY,EQ,1144.1,1149.0,1165.8,1149.0,1158.0,1156.65,1158.61,3046507,352972177915000.0,110975,1784229,0.5857
